2016/03/09 13:48:15	T	xlive 	848:2500 	[OUT 0'0"78]      CLibXLiveImpl::setAppSettingPath 	FL:LibXLiveImpl.cpp(212)
2016/03/09 13:48:15	T	xlive 	848:2500 	[IN]              CLibXLiveImpl::setTemporaryFolder 	FL:LibXLiveImpl.cpp(218)
2016/03/09 13:48:15	T	xlive 	848:2500 	[OUT 0'0"0]       CLibXLiveImpl::setTemporaryFolder 	FL:LibXLiveImpl.cpp(218)
2016/03/09 13:48:15	T	xlive 	848:2500 	[IN]              CLibXLiveImpl::setSyncThreadCount 	FL:LibXLiveImpl.cpp(236)
2016/03/09 13:48:15	T	xlive 	848:2500 	[IN]              CSyncManager::setSyncThreadCount 	FL:SyncManager.cpp(669)
2016/03/09 13:48:15	T	xlive 	848:2500 	[OUT 0'0"0]       CSyncManager::setSyncThreadCount 	FL:SyncManager.cpp(669)
2016/03/09 13:48:15	T	xlive 	848:2500 	[OUT 0'0"0]       CLibXLiveImpl::setSyncThreadCount 	FL:LibXLiveImpl.cpp(236)
2016/03/09 13:48:15	T	xlive 	848:2500 	[IN]              CLibXLiveImpl::setEnableLANSync 	FL:LibXLiveImpl.cpp(230)
2016/03/09 13:48:15	T	xlive 	848:2500 	[OUT 0'0"0]       CLibXLiveImpl::setEnableLANSync 	FL:LibXLiveImpl.cpp(230)
2016/03/09 13:48:15	T	xlive 	848:2500 	[IN]              CLibXLiveImpl::setUsingHTTPS 	FL:LibXLiveImpl.cpp(255)
2016/03/09 13:48:15	T	xlive 	848:2500 	[OUT 0'0"0]       CLibXLiveImpl::setUsingHTTPS 	FL:LibXLiveImpl.cpp(255)
2016/03/09 13:48:15	T	xlive 	848:2500 	[IN]              CLibXLiveImpl::setLargeFileLimit 	FL:LibXLiveImpl.cpp(280)
2016/03/09 13:48:15	T	xlive 	848:2500 	[OUT 0'0"0]       CLibXLiveImpl::setLargeFileLimit 	FL:LibXLiveImpl.cpp(280)
2016/03/09 13:48:15	T	xlive 	848:2500 	[IN]              CLibXLiveImpl::setExcludeFolderPath 	FL:LibXLiveImpl.cpp(273)
2016/03/09 13:48:15	T	xlive 	848:2500 	[IN]              CSyncManager::delFolderItemsByPath 	FL:SyncManager.cpp(201)
2016/03/09 13:48:15	T	xlive 	848:2500 	[IN]              CDBFS::init 	FL:DBFS.cpp(21)
2016/03/09 13:48:15	T	xlive 	848:2500 	[IN]              CDBFS::_initDBEnv 	FL:DBFS.cpp(737)
2016/03/09 13:48:15	T	xlive 	848:2500 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/09 13:48:15	T	xlive 	848:2500 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/09 13:48:15	T	xlive 	848:2500 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/09 13:48:15	T	xlive 	848:2500 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/09 13:48:15	T	xlive 	848:2500 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/09 13:48:15	T	xlive 	848:2500 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/09 13:48:15	T	xlive 	848:2500 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/09 13:48:15	T	xlive 	848:2500 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/09 13:48:15	T	xlive 	848:2500 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/09 13:48:15	T	xlive 	848:2500 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/09 13:48:15	T	xlive 	848:2500 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/09 13:48:15	T	xlive 	848:2500 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/09 13:48:15	T	xlive 	848:2500 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/09 13:48:15	T	xlive 	848:2500 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/09 13:48:15	T	xlive 	848:2500 	[IN]              CDBFS::_createTables 	FL:DBFS.cpp(829)
2016/03/09 13:48:15	T	xlive 	848:2500 	[OUT 0'0"109]     CDBFS::_createTables 	FL:DBFS.cpp(829)
2016/03/09 13:48:15	T	xlive 	848:2500 	[IN]              CDBFS::_fixIncorrectData 	FL:DBFS.cpp(923)
2016/03/09 13:48:15	T	xlive 	848:2500 	[IN]              CDBFS::queryBindPath 	FL:DBFS.cpp(506)
2016/03/09 13:48:15	T	xlive 	848:2500 	[OUT 0'0"0]       CDBFS::queryBindPath 	FL:DBFS.cpp(506)
2016/03/09 13:48:15	T	xlive 	848:2500 	[OUT 0'0"0]       CDBFS::_fixIncorrectData 	FL:DBFS.cpp(923)
2016/03/09 13:48:15	T	xlive 	848:2500 	[IN]              CDBFS::setBindPath 	FL:DBFS.cpp(531)
2016/03/09 13:48:16	T	xlive 	848:2500 	[OUT 0'0"828]     CDBFS::setBindPath 	FL:DBFS.cpp(531)
2016/03/09 13:48:16	T	xlive 	848:2500 	[OUT 0'1"46]      CDBFS::_initDBEnv 	FL:DBFS.cpp(737)
