2016/03/15 09:14:43	T	xlive 	780:2120 	[OUT 0'0"156]     CLibXLiveImpl::setAppSettingPath 	FL:LibXLiveImpl.cpp(212)
2016/03/15 09:14:43	T	xlive 	780:2120 	[IN]              CLibXLiveImpl::setTemporaryFolder 	FL:LibXLiveImpl.cpp(218)
2016/03/15 09:14:43	T	xlive 	780:2120 	[OUT 0'0"0]       CLibXLiveImpl::setTemporaryFolder 	FL:LibXLiveImpl.cpp(218)
2016/03/15 09:14:43	T	xlive 	780:2120 	[IN]              CLibXLiveImpl::setSyncThreadCount 	FL:LibXLiveImpl.cpp(236)
2016/03/15 09:14:43	T	xlive 	780:2120 	[IN]              CSyncManager::setSyncThreadCount 	FL:SyncManager.cpp(669)
2016/03/15 09:14:43	T	xlive 	780:2120 	[OUT 0'0"0]       CSyncManager::setSyncThreadCount 	FL:SyncManager.cpp(669)
2016/03/15 09:14:43	T	xlive 	780:2120 	[OUT 0'0"0]       CLibXLiveImpl::setSyncThreadCount 	FL:LibXLiveImpl.cpp(236)
2016/03/15 09:14:43	T	xlive 	780:2120 	[IN]              CLibXLiveImpl::setEnableLANSync 	FL:LibXLiveImpl.cpp(230)
2016/03/15 09:14:43	T	xlive 	780:2120 	[OUT 0'0"0]       CLibXLiveImpl::setEnableLANSync 	FL:LibXLiveImpl.cpp(230)
2016/03/15 09:14:43	T	xlive 	780:2120 	[IN]              CLibXLiveImpl::setUsingHTTPS 	FL:LibXLiveImpl.cpp(255)
2016/03/15 09:14:43	T	xlive 	780:2120 	[OUT 0'0"0]       CLibXLiveImpl::setUsingHTTPS 	FL:LibXLiveImpl.cpp(255)
2016/03/15 09:14:43	T	xlive 	780:2120 	[IN]              CLibXLiveImpl::setLargeFileLimit 	FL:LibXLiveImpl.cpp(280)
2016/03/15 09:14:43	T	xlive 	780:2120 	[OUT 0'0"0]       CLibXLiveImpl::setLargeFileLimit 	FL:LibXLiveImpl.cpp(280)
2016/03/15 09:14:43	T	xlive 	780:2120 	[IN]              CLibXLiveImpl::setExcludeFolderPath 	FL:LibXLiveImpl.cpp(273)
2016/03/15 09:14:43	T	xlive 	780:2120 	[IN]              CSyncManager::delFolderItemsByPath 	FL:SyncManager.cpp(201)
2016/03/15 09:14:43	T	xlive 	780:2120 	[IN]              CDBFS::init 	FL:DBFS.cpp(21)
2016/03/15 09:14:43	T	xlive 	780:2120 	[IN]              CDBFS::_initDBEnv 	FL:DBFS.cpp(737)
2016/03/15 09:14:43	T	xlive 	780:2120 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/15 09:14:43	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/15 09:14:43	T	xlive 	780:2120 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/15 09:14:43	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/15 09:14:43	T	xlive 	780:2120 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/15 09:14:43	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/15 09:14:43	T	xlive 	780:2120 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/15 09:14:43	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/15 09:14:43	T	xlive 	780:2120 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/15 09:14:43	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/15 09:14:43	T	xlive 	780:2120 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/15 09:14:43	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/15 09:14:43	T	xlive 	780:2120 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/15 09:14:43	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/15 09:14:43	T	xlive 	780:2120 	[IN]              CDBFS::_createTables 	FL:DBFS.cpp(829)
2016/03/15 09:14:43	T	xlive 	780:2120 	[OUT 0'0"15]      CDBFS::_createTables 	FL:DBFS.cpp(829)
2016/03/15 09:14:43	T	xlive 	780:2120 	[IN]              CDBFS::_fixIncorrectData 	FL:DBFS.cpp(923)
2016/03/15 09:14:43	T	xlive 	780:2120 	[IN]              CDBFS::queryBindPath 	FL:DBFS.cpp(506)
2016/03/15 09:14:43	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::queryBindPath 	FL:DBFS.cpp(506)
2016/03/15 09:14:43	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::_fixIncorrectData 	FL:DBFS.cpp(923)
2016/03/15 09:14:43	T	xlive 	780:2120 	[IN]              CDBFS::setBindPath 	FL:DBFS.cpp(531)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"984]     CDBFS::setBindPath 	FL:DBFS.cpp(531)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'1"46]      CDBFS::_initDBEnv 	FL:DBFS.cpp(737)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'1"46]      CDBFS::init 	FL:DBFS.cpp(21)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::init 	FL:DBFS.cpp(21)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFSShare::_initDBEnv 	FL:DBFSShare.cpp(19)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::_initDBEnv 	FL:DBFS.cpp(737)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFSShare::_createTables 	FL:DBFSShare.cpp(54)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::_createTables 	FL:DBFS.cpp(829)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"62]      CDBFS::_createTables 	FL:DBFS.cpp(829)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"62]      CDBFSShare::_createTables 	FL:DBFSShare.cpp(54)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFSShare::_fixIncorrectData 	FL:DBFSShare.cpp(100)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::_fixIncorrectData 	FL:DBFS.cpp(923)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::queryBindPath 	FL:DBFS.cpp(506)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::queryBindPath 	FL:DBFS.cpp(506)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::_fixIncorrectData 	FL:DBFS.cpp(923)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::queryBindPath 	FL:DBFS.cpp(506)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::queryBindPath 	FL:DBFS.cpp(506)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFSShare::_fixIncorrectData 	FL:DBFSShare.cpp(100)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::setBindPath 	FL:DBFS.cpp(531)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"125]     CDBFS::setBindPath 	FL:DBFS.cpp(531)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"328]     CDBFS::_initDBEnv 	FL:DBFS.cpp(737)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"328]     CDBFSShare::_initDBEnv 	FL:DBFSShare.cpp(19)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"328]     CDBFS::init 	FL:DBFS.cpp(21)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::lock 	FL:DBFS.cpp(45)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::lock 	FL:DBFS.cpp(45)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::beginTransaction 	FL:DBFS.cpp(554)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::beginTransaction 	FL:DBFS.cpp(554)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::lock 	FL:DBFS.cpp(45)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::lock 	FL:DBFS.cpp(45)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::beginTransaction 	FL:DBFS.cpp(554)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::beginTransaction 	FL:DBFS.cpp(554)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"31]      CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"62]      CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"46]      CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[OUT 0'0"0]       CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/15 09:14:44	T	xlive 	780:2120 	[IN]              CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
